      x               rho             U               p               u
      0.238125        0.908001        0.113097        0.873617        2.405329
      0.239375        0.904746        0.117263        0.869235        2.401877
      0.240625        0.901500        0.121430        0.864872        2.398426
      0.241875        0.898263        0.125597        0.860528        2.394978
      0.243125        0.895036        0.129763        0.856204        2.391533
      0.244375        0.891818        0.133930        0.851897        2.388089
      0.245625        0.888610        0.138097        0.847609        2.384649
      0.246875        0.885410        0.142263        0.843340        2.381211
      0.248125        0.882221        0.146430        0.839089        2.377776
      0.249375        0.879040        0.150597        0.834856        2.374343
      0.250625        0.875868        0.154763        0.830642        2.370912
      0.251875        0.872705        0.158930        0.826446        2.367484
      0.253125        0.869551        0.163097        0.822268        2.364058
      0.254375        0.866407        0.167263        0.818108        2.360635
      0.255625        0.863272        0.171430        0.813967        2.357214
      0.256875        0.860146        0.175597        0.809843        2.353796
      0.258125        0.857028        0.179763        0.805737        2.350380
      0.259375        0.853920        0.183930        0.801649        2.346967
      0.260625        0.850822        0.188097        0.797579        2.343557
      0.261875        0.847732        0.192263        0.793527        2.340148
      0.263125        0.844650        0.196430        0.789492        2.336742
      0.264375        0.841579        0.200597        0.785475        2.333339
      0.265625        0.838515        0.204763        0.781475        2.329938
      0.266875        0.835461        0.208930        0.777493        2.326540
      0.268125        0.832416        0.213097        0.773529        2.323144
      0.269375        0.829379        0.217263        0.769581        2.319751
      0.270625        0.826351        0.221430        0.765651        2.316360
      0.271875        0.823333        0.225597        0.761738        2.312971
      0.273125        0.820323        0.229763        0.757843        2.309586
      0.274375        0.817322        0.233930        0.753964        2.306202
      0.275625        0.814330        0.238097        0.750102        2.302821
      0.276875        0.811347        0.242263        0.746258        2.299443
      0.278125        0.808372        0.246430        0.742430        2.296067
      0.279375        0.805405        0.250597        0.738619        2.292692
      0.280625        0.802448        0.254763        0.734825        2.289322
      0.281875        0.799499        0.258930        0.731047        2.285953
      0.283125        0.796559        0.263097        0.727286        2.282587
      0.284375        0.793628        0.267263        0.723542        2.279223
      0.285625        0.790706        0.271430        0.719815        2.275862
      0.286875        0.787792        0.275597        0.716104        2.272504
      0.288125        0.784886        0.279763        0.712409        2.269147
      0.289375        0.781989        0.283930        0.708730        2.265793
      0.290625        0.779101        0.288097        0.705068        2.262442
      0.291875        0.776221        0.292263        0.701422        2.259093
      0.293125        0.773350        0.296430        0.697793        2.255748
      0.294375        0.770487        0.300597        0.694179        2.252403
      0.295625        0.767633        0.304763        0.690581        2.249062
      0.296875        0.764787        0.308930        0.687000        2.245723
      0.298125        0.761950        0.313097        0.683435        2.242387
      0.299375        0.759121        0.317263        0.679885        2.239053
      0.300625        0.756300        0.321430        0.676351        2.235722
      0.301875        0.753488        0.325597        0.672833        2.232393
      0.303125        0.750685        0.329763        0.669330        2.229067
      0.304375        0.747889        0.333930        0.665843        2.225743
      0.305625        0.745102        0.338097        0.662372        2.222421
      0.306875        0.742323        0.342263        0.658916        2.219102
      0.308125        0.739553        0.346430        0.655476        2.215785
      0.309375        0.736791        0.350597        0.652051        2.212472
      0.310625        0.734037        0.354763        0.648642        2.209161
      0.311875        0.731291        0.358930        0.645248        2.205851
      0.313125        0.728554        0.363097        0.641869        2.202545
      0.314375        0.725824        0.367263        0.638505        2.199240
      0.315625        0.723104        0.371430        0.635156        2.195939
      0.316875        0.720390        0.375597        0.631823        2.192640
      0.318125        0.717686        0.379763        0.628504        2.189343
      0.319375        0.714989        0.383930        0.625200        2.186049
      0.320625        0.712300        0.388097        0.621911        2.182757
      0.321875        0.709620        0.392263        0.618638        2.179468
      0.323125        0.706948        0.396430        0.615379        2.176181
      0.324375        0.704284        0.400597        0.612134        2.172897
      0.325625        0.701628        0.404763        0.608905        2.169615
      0.326875        0.698979        0.408930        0.605689        2.166335
      0.328125        0.696339        0.413097        0.602488        2.163058
      0.329375        0.693707        0.417263        0.599303        2.159785
      0.330625        0.691082        0.421430        0.596131        2.156512
      0.331875        0.688466        0.425597        0.592974        2.153243
      0.333125        0.685858        0.429763        0.589831        2.149976
      0.334375        0.683257        0.433930        0.586703        2.146712
      0.335625        0.680665        0.438097        0.583589        2.143450
      0.336875        0.678080        0.442263        0.580488        2.140191
      0.338125        0.675503        0.446430        0.577402        2.136934
      0.339375        0.672934        0.450597        0.574330        2.133679
      0.340625        0.670373        0.454763        0.571272        2.130427
      0.341875        0.667820        0.458930        0.568228        2.127177
      0.343125        0.665274        0.463097        0.565198        2.123930
      0.344375        0.662736        0.467263        0.562182        2.120686
      0.345625        0.660206        0.471430        0.559179        2.117444
      0.346875        0.657684        0.475597        0.556191        2.114204
      0.348125        0.655169        0.479763        0.553216        2.110967
      0.349375        0.652662        0.483930        0.550255        2.107732
      0.350625        0.650163        0.488097        0.547307        2.104500
      0.351875        0.647671        0.492263        0.544373        2.101270
      0.353125        0.645187        0.496430        0.541452        2.098043
      0.354375        0.642711        0.500597        0.538545        2.094819
      0.355625        0.640242        0.504763        0.535651        2.091596
      0.356875        0.637781        0.508930        0.532771        2.088377
      0.358125        0.635328        0.513097        0.529904        2.085159
      0.359375        0.632882        0.517263        0.527050        2.081944
      0.360625        0.630444        0.521430        0.524209        2.078732
      0.361875        0.628013        0.525597        0.521382        2.075522
      0.363125        0.625589        0.529763        0.518567        2.072315
      0.364375        0.623173        0.533930        0.515765        2.069110
      0.365625        0.620764        0.538097        0.512977        2.065907
      0.366875        0.618364        0.542263        0.510201        2.062707
      0.368125        0.615970        0.546430        0.507438        2.059510
