x p rho alpha1 U rho1 rho2
1.132500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.137500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.142500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.147500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.152500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.157500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.162500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.167500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.172500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.177500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.182500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.187500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.192500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.197500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.202500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.207500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.212500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.217500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.222500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.227500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.232500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.237500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.242500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.247500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.252500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.257500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.262500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.267500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.272500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.277500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.282500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.287500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.292500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.297500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.302500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.307500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.312500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.317500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.322500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.327500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
